"The quick brown fox jumps over the lazy dog.","Input Accepted.",24,43,67
"The quick brown fox jumps over the lazy dog.","Input Accepted.",24,43,67
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",27,0,27
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",0,0,0
"The quick brown fox jumps over the lazy dog.","The qulck brown fox jumps over the lazy dog.",0,1,1
"The quick brown fox jumps over the lazy dog.","Input Accepted.",-42,43,1
"The quick brown fox jumps over the lazy dog.","Input Accepted.",-42,43,1
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog. .",-43,0,-43
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",39,0,39
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a dog's.",36,2,38
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",30,0,30
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",51,0,51
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bloe skies and abunoant life, oplanet Earth is a pretty special place.",1,40,41
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon's sense of smell is thounsanos of times better than a dog's.",5,34,39
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",2,0,2
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",-55,0,-55
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet Earth is a pretty special place.",249,38,287
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet Earth is a pretty special place.",249,38,287
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",58,1,59
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",52,0,52
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is 10 air conditioners operating 20 hours a day.",30,51,81
