"The quick brown fox jumps over the lazy dog.","Input Accepted.",68
"The quick brown fox jumps over the lazy dog.","Input Accepted.",68
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",71
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",44
"The quick brown fox jumps over the lazy dog.","The qulck brown fox jumps over the lazy dog.",44
"The quick brown fox jumps over the lazy dog.","Input Accepted.",2
"The quick brown fox jumps over the lazy dog.","Input Accepted.",2
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog. .",1
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",117
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a dog's.",104
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",79
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",149
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bloe skies and abunoant life, oplanet Earth is a pretty special place.",79
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon's sense of smell is thounsanos of times better than a dog's.",73
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",51
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",43
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet Earth is a pretty special place.",327
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet Earth is a pretty special place.",327
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",126
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",101
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is 10 air conditioners operating 20 hours a day.",128
