"The quick brown fox jumps over the lazy dog.","Input Accepted.",57
"The quick brown fox jumps over the lazy dog.","Input Accepted.",57
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",27
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy. Dog.",87
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.",86
"The quick brown fox jumps over the lazy dog.",".",1
"The quick brown fox jumps over the lazy dog.","The oooqulick brown fox jumps o-aver the lazy ooge.",2
"The quick brown fox jumps over the lazy dog.","the qulck brown fox jurps over the lazy doge.",59
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",95
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",95
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, plant earth is a pretty special place..",1
"When a book lover is in charge of the floor plan.","Input Accepted.",88
"When a book lover is in charge of the floor plan.","Input Accepted.",88
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","Input Accepted.",146
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","Input Accepted.",146
"With its blue skies and abundant life, planet Earth is a pretty special place.","With. It's blue skies and abundant life planet earth is a pretty special place.",156
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",2
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",2
"When a book lover is in charge of the floor plan.","When. A book lover is in charge of the floor plan.",104
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",193
"With its blue skies and abundant life, planet Earth is a pretty special place.","W. Th its blue skies and abunoent ni#e planet earth is a prettty special.",85
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",71
"A salmon's sense of smell is thousands of times better than a dog's.","Input Accepted.",71
"When a book lover is in charge of the floor plan.","When a booh lover is in char5e of floor plan.",46
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net coonino esfect of a healthy tree is equan to 10 air coNditioners opratingd.",83
