"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",37,0,37
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",25,0,25
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",65,0,65
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",49,0,49
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy ooo dog.",90,3,93
"The quick brown fox jumps over the lazy dog.","The qouick brown fox jumps oaver the laezy dog.",14,39,53
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",43,0,43
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",37,1,38
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",28,0,28
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",56,0,56
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",82,0,82
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",83,1,84
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",50,0,50
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners most fighting operating 20 hours a day.",109,23,132
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bnlue skies and abunodant life, planet Earth is a pretty special place.",4,67,71
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon's sense of smell is a thousanods of tirmes better than a dog's.",8,36,44
"When a book lover is in charge of the floor plan.","When a booh lover is in charge of the floor pnlan.",1,5,6
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operatinog 20 hours a day.",1,17,18
