"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",81
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",69
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",109
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",93
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy ooo dog.",134
"The quick brown fox jumps over the lazy dog.","The qouick brown fox jumps oaver the laezy dog.",58
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",121
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",105
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",77
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",154
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet Earth is a pretty special place.",160
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",151
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",99
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners most fighting operating 20 hours a day.",207
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bnlue skies and abunodant life, planet Earth is a pretty special place.",82
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon's sense of smell is a thousanods of tirmes better than a dog's.",76
"When a book lover is in charge of the floor plan.","When a booh lover is in charge of the floor pnlan.",50
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operatinog 20 hours a day.",99
