"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",1
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",2
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.",86
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.",87
"The quick brown fox jumps over the lazy dog.","The quulck brown fox jurmps over the lazy dog.",46
"The quick brown fox jumps over the lazy dog.","The qulck brown fox jumps over the lazy dog.",44
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",120
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a a dog's.",108
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",78
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 20 air conditioners operating 20 hours a day.",143
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet earth is a pretty special place.",155
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's7 sense of smell is thousands of times better than a city's.",131
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",98
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal glad 10 air conditioners operating 30 hours a day.",193
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",78
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon!s sense of thousands of times better than a dog's.",59
"When a book lover is in charge of the floor plan.","When a book lover is in charge of yhe floor plan.",49
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect ot a healthy tree is equal to 10 aair conditioner's operating 20 hour's a day.",101
