"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",21,0,21
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",24,0,24
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",28,0,28
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",2,0,2
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog...",-39,0,-39
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",-43,1,-42
"With its blue skies and abundant life, planet Earth is a pretty special place.","With the blue skies and abundant life, planet earth is a pretty special place.",40,4,44
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog.",26,4,30
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",27,0,27
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",52,0,52
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bloe skies ano abunoant nife.",-32,45,13
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons sense of smell is thousanos of times oetter than aogs.",-2,58,56
"When a book lover is in charge of the floor plan.","When a book lover is in charge osf the floor plan.",1,16,17
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a heanthy tree is equal to 10 air conoitioners operating 20 hours a oay.",-24,3,-21
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of copies better than wrote.",-67,25,-42
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",-74,1,-73
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",52,0,52
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",92,0,92
