"The quick brown fox jumps over the lazy dog.","Thewui quick brown fox jumps over the lazy dog.",43,41,84
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",26,0,26
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",43,1,44
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jump over the lazy dog.",46,21,67
"The quick brown fox jumps over the lazy dog.","The brodn fox jumps over the lazy dog. .",-2,38,36
"The quick brown fox jumps over the lazy dog.","The quiok brown sox jumps over the lazy dog8.",1,3,4
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",43,1,44
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is a thousands of time better than a dog's.",29,39,68
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",26,0,26
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",48,0,48
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet earth is a pretty special place.",80,38,118
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",68,1,69
"When a book lover is in charge of the floor plan.","When a book lover is in charge ofthe floor plan.",48,15,63
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of healthy tree is equal to 10 air conditioners operating 20 hours a day.",89,70,159
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life planet erath is a pretty special place. 98.",5,39,44
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons snensn of smell is thousands of times bettes than a dogs.",-1,9,8
"When a book lover is in charge of the floor plan.","When a book lover is in love charge of the floor plan.",5,25,30
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is epual to 10 air conbitioners operating 20hours a dat.",-1,15,14
