"The quick brown fox jumps over the lazy dog.","Thewui quick brown fox jumps over the lazy dog.",87
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",70
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",87
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jump over the lazy dog.",90
"The quick brown fox jumps over the lazy dog.","The brodn fox jumps over the lazy dog. .",42
"The quick brown fox jumps over the lazy dog.","The quiok brown sox jumps over the lazy dog8.",45
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",121
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is a thousands of time better than a dog's.",97
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",75
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",146
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet earth is a pretty special place.",158
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",136
"When a book lover is in charge of the floor plan.","When a book lover is in charge ofthe floor plan.",97
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of healthy tree is equal to 10 air conditioners operating 20 hours a day.",187
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life planet erath is a pretty special place. 98.",83
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons snensn of smell is thousands of times bettes than a dogs.",67
"When a book lover is in charge of the floor plan.","When a book lover is in love charge of the floor plan.",54
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is epual to 10 air conbitioners operating 20hours a dat.",97
